CustomerID,NoOfOrders,TotalItemsPurchased,Revenue,RevenuePerOrder,RevenuePerItem
2193,2,4,27.56,13.78,6.89
2194,2,2,16.36,8.18,8.18
2195,2,4,28.14,14.07,7.04
2196,4,18,138.02,34.51,7.67
2197,2,10,66.9,33.45,6.69
2198,2,4,27.14,13.57,6.79
2199,2,6,35.34,17.67,5.89
2200,2,4,23.56,11.78,5.89
2201,2,4,36.72,18.36,9.18
2202,8,24,137.46,17.18,5.73
2203,2,2,23.36,11.68,11.68
2204,2,10,72.04,36.02,7.2
2205,4,4,34.52,8.63,8.63
2206,2,2,16.86,8.43,8.43
2207,2,6,43.34,21.67,7.22
2208,2,8,44.52,22.26,5.57
2209,12,34,259.46,21.62,7.63
2210,2,6,52.2,26.1,8.7
2211,2,6,39.34,19.67,6.56
2212,2,2,15.78,7.89,7.89
2213,2,8,61.12,30.56,7.64
2214,2,6,42.34,21.17,7.06
2215,2,6,70.08,35.04,11.68
2216,2,12,70.28,35.14,5.86
2217,2,10,36.22,18.11,3.62
2218,6,6,45.3,7.55,7.55
2219,2,10,75.04,37.52,7.5
2220,2,10,54.9,27.45,5.49
2221,2,20,112.52,56.26,5.63
2222,2,6,31.34,15.67,5.22
2223,2,4,31.56,15.78,7.89
2224,2,4,23.56,11.78,5.89
2225,2,4,31.56,15.78,7.89
2226,2,2,16.36,8.18,8.18
2227,2,14,110.66,55.33,7.9
2228,22,68,500.74,22.76,7.36
2229,2,4,23.56,11.78,5.89
2230,2,6,45.34,22.67,7.56
2231,2,4,31.56,15.78,7.89
2232,32,116,958.32,29.95,8.26
2233,2,4,23.36,11.68,5.84
2234,2,6,39.34,19.67,6.56
2235,2,6,32.14,16.07,5.36
2236,2,12,77.94,38.97,6.5
2237,2,4,31.56,15.78,7.89
2238,4,16,103.82,25.96,6.49
2239,2,2,25.36,12.68,12.68
2240,2,6,56,28,9.33
2241,2,8,44.54,22.27,5.57
2242,2,8,72.62,36.31,9.08
2243,2,4,23.56,11.78,5.89
2244,6,12,80.04,13.34,6.67
2245,10,18,136.26,13.63,7.57
2246,2,4,37.22,18.61,9.31
2247,2,6,50.34,25.17,8.39
2248,2,2,11.78,5.89,5.89
